iter	Passed	Remaining
0	141	141315
1	143	71542
2	144	48147
3	146	36487
4	148	29471
5	149	24766
6	150	21394
7	152	18931
8	154	17041
9	157	15546
10	158	14263
11	160	13179
12	161	12269
13	163	11489
14	164	10833
15	166	10257
16	168	9749
17	170	9289
18	172	8884
19	173	8506
20	175	8169
21	177	7870
22	179	7611
23	181	7363
24	182	7126
25	184	6919
26	186	6718
27	187	6525
28	189	6350
29	191	6188
30	193	6043
31	195	5900
32	196	5766
33	198	5646
34	200	5525
35	202	5411
36	203	5305
37	206	5216
38	207	5116
39	209	5024
40	211	4940
41	213	4861
42	215	4802
43	217	4722
44	218	4643
45	220	4572
46	221	4498
47	223	4431
48	224	4365
49	226	4303
50	227	4242
51	229	4183
52	230	4125
53	232	4068
54	233	4019
55	235	3967
56	236	3918
57	238	3870
58	239	3827
59	241	3781
60	242	3736
61	244	3694
62	245	3653
63	248	3632
64	250	3599
65	251	3564
66	253	3528
67	255	3496
68	256	3461
69	258	3428
70	259	3396
71	261	3371
72	263	3342
73	264	3311
74	266	3282
75	267	3256
76	269	3228
77	271	3206
78	273	3186
79	274	3160
80	276	3137
81	278	3112
82	279	3087
83	280	3063
84	282	3042
85	284	3021
86	286	3002
87	287	2981
88	289	2961
89	290	2939
90	292	2920
91	293	2901
92	295	2885
93	297	2867
94	299	2857
95	301	2840
96	303	2825
97	305	2810
98	307	2794
99	308	2779
100	310	2762
101	312	2747
102	314	2734
103	315	2721
104	317	2709
105	319	2693
106	320	2678
107	322	2663
108	323	2648
109	325	2633
110	328	2631
111	330	2622
112	332	2609
113	334	2598
114	336	2585
115	337	2574
116	339	2561
117	341	2555
118	343	2543
119	345	2531
120	346	2519
121	348	2506
122	349	2494
123	351	2485
124	354	2478
125	356	2473
126	358	2463
127	359	2451
128	361	2441
129	363	2431
130	365	2421
131	366	2411
132	368	2400
133	369	2390
134	371	2380
135	373	2370
136	374	2360
137	376	2350
138	378	2342
139	379	2333
140	381	2324
141	383	2315
142	384	2307
143	387	2302
144	389	2294
145	390	2286
146	392	2276
147	393	2267
148	395	2260
149	397	2250
150	398	2242
151	401	2239
152	403	2232
153	405	2225
154	406	2217
155	408	2208
156	410	2202
157	413	2201
158	415	2195
159	416	2187
160	418	2178
161	419	2171
162	421	2163
163	423	2157
164	424	2150
165	426	2143
166	428	2134
167	429	2127
168	431	2120
169	432	2113
170	434	2106
171	436	2101
172	438	2095
173	439	2088
174	442	2084
175	444	2082
176	446	2076
177	448	2071
178	450	2066
179	452	2059
180	453	2051
181	454	2044
182	456	2037
183	458	2032
184	460	2028
185	462	2021
186	463	2016
187	465	2010
188	467	2004
189	469	2003
190	471	1996
191	473	1991
192	474	1986
193	476	1980
194	478	1974
195	479	1968
196	481	1961
197	482	1955
198	484	1950
199	486	1944
200	488	1941
201	490	1936
202	492	1931
203	493	1925
204	495	1920
205	496	1915
206	498	1909
207	500	1904
208	501	1899
209	503	1894
210	504	1888
211	506	1882
212	508	1877
213	509	1872
214	511	1868
215	513	1863
216	514	1858
217	517	1854
218	519	1852
